"","Date","Day","Country","Type","Value","TotalValue"
"1","3/22/2014",0,"Guinea","Cases",49,49
"2","3/22/2014",0,"Guinea","Deaths",29,29
"3","3/22/2014",0,"Liberia","Cases",0,0
"4","3/22/2014",0,"Liberia","Deaths",0,0
"5","3/22/2014",0,"SierraLeone","Cases",0,0
"6","3/22/2014",0,"SierraLeone","Deaths",0,0
"7","3/22/2014",0,"Nigeria","Cases",0,0
"8","3/22/2014",0,"Nigeria","Deaths",0,0
"9","3/22/2014",0,"Senegal","Cases",0,0
"10","3/22/2014",0,"Senegal","Deaths",0,0
"11","3/22/2014",0,"UnitedStates","Cases",0,0
"12","3/22/2014",0,"UnitedStates","Deaths",0,0
"13","3/22/2014",0,"Spain","Cases",0,0
"14","3/22/2014",0,"Spain","Deaths",0,0
"15","3/22/2014",0,"Mali","Cases",0,0
"16","3/22/2014",0,"Mali","Deaths",0,0
"17","3/24/2014",2,"Guinea","Cases",37,86
"18","3/24/2014",2,"Guinea","Deaths",30,59
"19","3/24/2014",2,"Liberia","Cases",0,0
"20","3/24/2014",2,"Liberia","Deaths",0,0
"21","3/24/2014",2,"SierraLeone","Cases",0,0
"22","3/24/2014",2,"SierraLeone","Deaths",0,0
"23","3/24/2014",2,"Nigeria","Cases",0,0
"24","3/24/2014",2,"Nigeria","Deaths",0,0
"25","3/24/2014",2,"Senegal","Cases",0,0
"26","3/24/2014",2,"Senegal","Deaths",0,0
"27","3/24/2014",2,"UnitedStates","Cases",0,0
"28","3/24/2014",2,"UnitedStates","Deaths",0,0
"29","3/24/2014",2,"Spain","Cases",0,0
"30","3/24/2014",2,"Spain","Deaths",0,0
"31","3/24/2014",2,"Mali","Cases",0,0
"32","3/24/2014",2,"Mali","Deaths",0,0
"33","3/25/2014",3,"Guinea","Cases",0,86
"34","3/25/2014",3,"Guinea","Deaths",1,60
"35","3/25/2014",3,"Liberia","Cases",0,0
"36","3/25/2014",3,"Liberia","Deaths",0,0
"37","3/25/2014",3,"SierraLeone","Cases",0,0
"38","3/25/2014",3,"SierraLeone","Deaths",0,0
"39","3/25/2014",3,"Nigeria","Cases",0,0
"40","3/25/2014",3,"Nigeria","Deaths",0,0
"41","3/25/2014",3,"Senegal","Cases",0,0
"42","3/25/2014",3,"Senegal","Deaths",0,0
"43","3/25/2014",3,"UnitedStates","Cases",0,0
"44","3/25/2014",3,"UnitedStates","Deaths",0,0
"45","3/25/2014",3,"Spain","Cases",0,0
"46","3/25/2014",3,"Spain","Deaths",0,0
"47","3/25/2014",3,"Mali","Cases",0,0
"48","3/25/2014",3,"Mali","Deaths",0,0
"49","3/26/2014",4,"Guinea","Cases",0,86
"50","3/26/2014",4,"Guinea","Deaths",2,62
"51","3/26/2014",4,"Liberia","Cases",0,0
"52","3/26/2014",4,"Liberia","Deaths",0,0
"53","3/26/2014",4,"SierraLeone","Cases",0,0
"54","3/26/2014",4,"SierraLeone","Deaths",0,0
"55","3/26/2014",4,"Nigeria","Cases",0,0
"56","3/26/2014",4,"Nigeria","Deaths",0,0
"57","3/26/2014",4,"Senegal","Cases",0,0
"58","3/26/2014",4,"Senegal","Deaths",0,0
"59","3/26/2014",4,"UnitedStates","Cases",0,0
"60","3/26/2014",4,"UnitedStates","Deaths",0,0
"61","3/26/2014",4,"Spain","Cases",0,0
"62","3/26/2014",4,"Spain","Deaths",0,0
"63","3/26/2014",4,"Mali","Cases",0,0
"64","3/26/2014",4,"Mali","Deaths",0,0
"65","3/27/2014",5,"Guinea","Cases",17,103
"66","3/27/2014",5,"Guinea","Deaths",4,66
"67","3/27/2014",5,"Liberia","Cases",8,8
"68","3/27/2014",5,"Liberia","Deaths",6,6
"69","3/27/2014",5,"SierraLeone","Cases",6,6
"70","3/27/2014",5,"SierraLeone","Deaths",5,5
"71","3/27/2014",5,"Nigeria","Cases",0,0
"72","3/27/2014",5,"Nigeria","Deaths",0,0
"73","3/27/2014",5,"Senegal","Cases",0,0
"74","3/27/2014",5,"Senegal","Deaths",0,0
"75","3/27/2014",5,"UnitedStates","Cases",0,0
"76","3/27/2014",5,"UnitedStates","Deaths",0,0
"77","3/27/2014",5,"Spain","Cases",0,0
"78","3/27/2014",5,"Spain","Deaths",0,0
"79","3/27/2014",5,"Mali","Cases",0,0
"80","3/27/2014",5,"Mali","Deaths",0,0
"81","3/28/2014",6,"Guinea","Cases",9,112
"82","3/28/2014",6,"Guinea","Deaths",4,70
"83","3/28/2014",6,"Liberia","Cases",0,8
"84","3/28/2014",6,"Liberia","Deaths",0,6
"85","3/28/2014",6,"SierraLeone","Cases",0,6
"86","3/28/2014",6,"SierraLeone","Deaths",0,5
"87","3/28/2014",6,"Nigeria","Cases",0,0
"88","3/28/2014",6,"Nigeria","Deaths",0,0
"89","3/28/2014",6,"Senegal","Cases",0,0
"90","3/28/2014",6,"Senegal","Deaths",0,0
"91","3/28/2014",6,"UnitedStates","Cases",0,0
"92","3/28/2014",6,"UnitedStates","Deaths",0,0
"93","3/28/2014",6,"Spain","Cases",0,0
"94","3/28/2014",6,"Spain","Deaths",0,0
"95","3/28/2014",6,"Mali","Cases",0,0
"96","3/28/2014",6,"Mali","Deaths",0,0
"97","3/29/2014",7,"Guinea","Cases",0,112
"98","3/29/2014",7,"Guinea","Deaths",0,70
"99","3/29/2014",7,"Liberia","Cases",0,8
"100","3/29/2014",7,"Liberia","Deaths",0,6
"101","3/29/2014",7,"SierraLeone","Cases",0,6
"102","3/29/2014",7,"SierraLeone","Deaths",0,5
"103","3/29/2014",7,"Nigeria","Cases",0,0
"104","3/29/2014",7,"Nigeria","Deaths",0,0
"105","3/29/2014",7,"Senegal","Cases",0,0
"106","3/29/2014",7,"Senegal","Deaths",0,0
"107","3/29/2014",7,"UnitedStates","Cases",0,0
"108","3/29/2014",7,"UnitedStates","Deaths",0,0
"109","3/29/2014",7,"Spain","Cases",0,0
"110","3/29/2014",7,"Spain","Deaths",0,0
"111","3/29/2014",7,"Mali","Cases",0,0
"112","3/29/2014",7,"Mali","Deaths",0,0
"113","3/31/2014",9,"Guinea","Cases",10,122
"114","3/31/2014",9,"Guinea","Deaths",10,80
"115","3/31/2014",9,"Liberia","Cases",0,8
"116","3/31/2014",9,"Liberia","Deaths",0,6
"117","3/31/2014",9,"SierraLeone","Cases",0,6
"118","3/31/2014",9,"SierraLeone","Deaths",0,5
"119","3/31/2014",9,"Nigeria","Cases",0,0
"120","3/31/2014",9,"Nigeria","Deaths",0,0
"121","3/31/2014",9,"Senegal","Cases",0,0
"122","3/31/2014",9,"Senegal","Deaths",0,0
"123","3/31/2014",9,"UnitedStates","Cases",0,0
"124","3/31/2014",9,"UnitedStates","Deaths",0,0
"125","3/31/2014",9,"Spain","Cases",0,0
"126","3/31/2014",9,"Spain","Deaths",0,0
"127","3/31/2014",9,"Mali","Cases",0,0
"128","3/31/2014",9,"Mali","Deaths",0,0
"129","4/1/2014",10,"Guinea","Cases",5,127
"130","4/1/2014",10,"Guinea","Deaths",3,83
"131","4/1/2014",10,"Liberia","Cases",0,8
"132","4/1/2014",10,"Liberia","Deaths",0,6
"133","4/1/2014",10,"SierraLeone","Cases",0,6
"134","4/1/2014",10,"SierraLeone","Deaths",0,5
"135","4/1/2014",10,"Nigeria","Cases",0,0
"136","4/1/2014",10,"Nigeria","Deaths",0,0
"137","4/1/2014",10,"Senegal","Cases",0,0
"138","4/1/2014",10,"Senegal","Deaths",0,0
"139","4/1/2014",10,"UnitedStates","Cases",0,0
"140","4/1/2014",10,"UnitedStates","Deaths",0,0
"141","4/1/2014",10,"Spain","Cases",0,0
"142","4/1/2014",10,"Spain","Deaths",0,0
"143","4/1/2014",10,"Mali","Cases",0,0
"144","4/1/2014",10,"Mali","Deaths",0,0
"145","4/4/2014",13,"Guinea","Cases",16,143
"146","4/4/2014",13,"Guinea","Deaths",3,86
"147","4/4/2014",13,"Liberia","Cases",10,18
"148","4/4/2014",13,"Liberia","Deaths",1,7
"149","4/4/2014",13,"SierraLeone","Cases",0,6
"150","4/4/2014",13,"SierraLeone","Deaths",0,5
"151","4/4/2014",13,"Nigeria","Cases",0,0
"152","4/4/2014",13,"Nigeria","Deaths",0,0
"153","4/4/2014",13,"Senegal","Cases",0,0
"154","4/4/2014",13,"Senegal","Deaths",0,0
"155","4/4/2014",13,"UnitedStates","Cases",0,0
"156","4/4/2014",13,"UnitedStates","Deaths",0,0
"157","4/4/2014",13,"Spain","Cases",0,0
"158","4/4/2014",13,"Spain","Deaths",0,0
"159","4/4/2014",13,"Mali","Cases",0,0
"160","4/4/2014",13,"Mali","Deaths",0,0
